Date,Open,High,Low,Close,Adj Close,Volume
6/1/2000,"551,000,000","555,000,000","548,000,000","548,000,000","548,000,000",177
6/2/2000,"547,000,000","554,000,000","542,000,000","543,500,000","543,500,000",352
6/4/2000,,,,,,
6/5/2000,"545,000,000","552,000,000","545,000,000","550,000,000","550,000,000",412
6/6/2000,"565,000,000","578,500,000","554,000,000","554,000,000","554,000,000",364
6/7/2000,"557,000,000","561,000,000","550,000,000","552,000,000","552,000,000",1454
6/8/2000,"552,000,000","556,000,000","550,000,000","551,000,000","551,000,000",256
6/9/2000,"551,000,000","556,000,000","536,000,000","540,500,000","540,500,000",247
6/11/2000,,,,,,
6/12/2000,"538,000,000","539,000,000","533,000,000","537,000,000","537,000,000",1011
6/13/2000,"536,000,000","538,000,000","528,000,000","530,000,000","530,000,000",275
6/14/2000,"526,000,000","534,000,000","526,000,000","529,500,000","529,500,000",362
6/15/2000,"522,000,000","535,000,000","522,000,000","532,500,000","532,500,000",391
6/16/2000,"533,000,000","534,000,000","527,000,000","529,000,000","529,000,000",173
6/18/2000,,,,,,
6/19/2000,"528,000,000","531,000,000","505,000,000","509,000,000","509,000,000",275
6/20/2000,"507,000,000","509,000,000","493,000,000","495,500,000","495,500,000",985
6/21/2000,"497,000,000","510,000,000","497,000,000","501,000,000","501,000,000",590
6/22/2000,"501,000,000","504,000,000","499,000,000","499,000,000","499,000,000",551
6/23/2000,"498,000,000","505,000,000","495,000,000","500,500,000","500,500,000",496
6/25/2000,,,,,,
6/26/2000,"498,000,000","513,000,000","498,000,000","511,000,000","511,000,000",313
6/27/2000,"511,000,000","515,000,000","508,000,000","510,000,000","510,000,000",766
6/28/2000,"502,000,000","507,000,000","490,000,000","496,000,000","496,000,000",439
6/29/2000,"494,000,000","503,000,000","468,000,000","471,000,000","471,000,000",669
6/30/2000,"468,000,000","471,000,000","460,000,000","467,000,000","467,000,000",1036
7/2/2000,,,,,,
7/3/2000,"466,000,000","480,000,000","466,000,000","472,000,000","472,000,000",157
7/4/2000,,,,,,
7/5/2000,"490,000,000","500,000,000","470,000,000","475,000,000","475,000,000",9
7/6/2000,"485,000,000","485,000,000","475,000,000","478,000,000","478,000,000",71
7/7/2000,"475,000,000","475,000,000","470,000,000","470,000,000","470,000,000",53
7/9/2000,,,,,,
7/10/2000,"485,000,000","485,000,000","462,000,000","472,000,000","472,000,000",40
7/11/2000,"480,000,000","480,000,000","480,000,000","480,000,000","480,000,000",50
7/12/2000,"479,000,000","480,000,000","477,000,000","477,000,000","477,000,000",2
7/13/2000,"476,000,000","476,000,000","469,000,000","469,000,000","469,000,000",31
7/14/2000,"462,000,000","462,000,000","462,000,000","462,000,000","462,000,000",27
7/16/2000,,,,,,
